_id,ano,municipio,codigo_curso,nome_curso,centro,CPCCONTINUO,nc,nidd,nm,nd,nr,no,nf,na,cpc_f2013,t_ies_br,t_ies_sul,t_ies_rs,t_ifes_br,t_ifes_sul,t_ifes_rs,id_centro,POSICAOBRASILCPC,POSICAORSCPC,POSICAOPUBLICABRASILCPC,POSICAOPUBLICARSCPC,POSICAOSULCPC,POSICAOIFESCPC,POSICAOBRASILINFRA,POSICAORSINFRA,POSICAOPUBLICABRASILINFRA,POSICAOPUBLICARSINFRA,POSICAOSULINFRA,POSICAOIFESINFRA,POSICAOBRASILPEDAG,POSICAORSPEDAG,POSICAOPUBLICABRASILPEDAG,POSICAOPUBLICARSPEDAG,POSICAOSULPEDAG,POSICAOIFESPEDAG,POSICAOBRASILREGIME,POSICAORSREGIME,POSICAOPUBLICABRASILREGIME,POSICAOPUBLICARSREGIME,POSICAOSULREGIME,POSICAOIFESREGIME,POSICAOBRASILDOUTOR,POSICAORSDOUTOR,POSICAOPUBLICABRASILDOUTOR,POSICAOPUBLICARSDOUTOR,POSICAOSULDOUTOR,POSICAOIFESDOUTOR,POSICAOBRASILIDD,POSICAORSIDD,POSICAOPUBLICABRASILIDD,POSICAOPUBLICARSIDD,POSICAOSULIDD,POSICAOIFESIDD,POSICAOBRASILENADE,POSICAORSENADE,POSICAOPUBLICABRASILENADE,POSICAOPUBLICARSENADE,POSICAOSULENADE,POSICAOIFESENADE,POSICAOBRASILMESTRE,POSICAORSMESTRE,POSICAOPUBLICABRASILMESTRE,POSICAOPUBLICARSMESTRE,POSICAOSULMESTRE,POSICAOIFESMESTRE,POSICAOBRASILAMPLIACAO,POSICAORSAMPLIACAO,POSICAOPUBLICABRASILAMPLIACAO,POSICAOPUBLICARSAMPLIACAO,POSICAOSULAMPLIACAO,POSICAOIFESAMPLIACAO,DISTANCIABRASILCPC,DISTANCIARSCPC,DISTANCIAPUBLICACPC,DISTANCIAPUBLICARSCPC,DISTANCIASULCPC,DISTANCIAIFESCPC,DISTANCIABRASILENADE,DISTANCIARSENADE,DISTANCIAPUBLICAENADE,DISTANCIAPUBLICARSENADE,DISTANCIASULENADE,DISTANCIAIFESENADE,media_ies_br,media_ies_sul,media_ies_rs,media_ifes_br,media_ifes_sul,media_ifes_rs,max_ies_br,max_ies_sul,max_ies_rs,max_ifes_br,max_ifes_sul,max_ifes_rs,CPC_FAIXA
42,2011,SANTA MARIA,1601,CIÊNCIAS BIOLÓGICAS (BACHARELADO),CCNE,1.61,3.29,2.12,0,0,0,0.59,2.2,1.23,1.58,165,33,16,71,11,7,2,154,16,66,7,32,41,133,15,42,6,29,24,162,16,68,7,33,40,158,16,66,7,33,39,158,16,66,7,32,39,92,12,37,5,25,25,43,7,28,5,10,21,157,16,65,7,32,39,1,1,1,1,1,1,"93,333",100,"92,958",100,96.97,"97,619","26,061",43.75,"39,437","71,429","30,303",50,2.78,2.97,3.23,2.84,3.18,3.25,4.39,4.12,4.12,4.3,3.93,3.93,Unidade com cursos não reconhecidos até 30/09/2012
94,2014,SANTA MARIA,1601,CIÊNCIAS BIOLÓGICAS (BACHARELADO),CCNE,3.28,3.08,2.45,5,5,5,1.76,2,2.92,3.28,205,42,16,85,16,6,2,68,10,41,6,19,28,167,14,48,4,36,27,186,16,68,6,40,41,1,1,1,1,1,1,1,1,1,1,1,1,137,13,55,6,32,35,54,8,41,6,14,30,1,1,1,1,1,1,95,9,31,3,24,22,"33,171",62.5,"48,235",100,"45,238",52.83,"26,341",50,"48,235",100,"33,333","56,604",2.97,3.09,3.27,3.09,3.34,3.55,4.33,3.97,3.92,4.33,3.97,3.92,4
43,2011,SANTA MARIA,1602,CIÊNCIAS BIOLÓGICAS (LICENCIATURA),CCNE,3.46,3.66,3.11,4.74,4.46,5,0.33,2.88,1.35,3.42,363,62,27,174,17,5,2,57,7,33,3,14,15,277,26,92,4,59,38,359,27,170,5,62,64,1,1,1,1,1,1,19,2,17,2,3,8,110,13,54,3,24,20,31,4,22,2,5,12,78,10,38,3,22,21,1,1,1,1,1,1,"15,702","25,926","18,966",60,"22,581","22,727",8.54,"14,815","12,644",40,"8,065","18,182",2.82,3.01,3.14,2.79,3.26,3.47,4.3,4.01,4.01,4.3,3.77,3.77,4
95,2014,SANTA MARIA,1602,CIÊNCIAS BIOLÓGICAS (LICENCIATURA),CCNE,3.02,3.47,1.76,5,5,5,0.54,1.86,2.9,3.02,383,68,33,182,20,6,2,141,22,74,5,37,50,335,33,138,6,64,66,376,33,176,6,67,78,2,2,2,2,2,2,1,1,1,1,1,1,341,29,168,6,60,75,45,6,30,4,10,20,1,1,1,1,1,1,221,27,80,6,47,44,"36,815","66,667","40,659","83,333","54,412","61,728","11,749","18,182","16,484","66,667","14,706","24,691",2.85,3,3.13,2.89,3.13,3.44,4.78,4.23,3.99,4.78,3.95,3.95,4
38,2011,SANTA MARIA,1401,FÍSICA (BACHARELADO),CCNE,3.52,2.92,4.13,5,4.5,5,0.56,0.39,0.49,3.53,41,9,5,36,7,3,2,12,2,11,2,4,9,37,5,32,3,9,23,32,5,27,3,9,21,1,1,1,1,1,1,7,2,7,2,2,3,8,1,7,1,3,5,10,1,9,1,3,7,1,1,1,1,1,1,1,1,1,1,1,1,"29,268",40,"30,556","66,667","44,444",36,24.39,20,25,"33,333","33,333",28,2.82,3.26,3.12,2.88,3.46,3.49,4.1,4.04,3.63,4.1,4.04,3.63,4
90,2014,SANTA MARIA,1401,FÍSICA (BACHARELADO),CCNE,2.21,1.28,0.84,5,3.78,5,2.88,1.36,2.43,2.21,49,10,5,42,8,3,2,42,5,38,3,10,27,40,5,33,3,10,23,14,4,9,2,5,7,1,1,1,1,1,1,19,2,19,2,4,13,44,5,39,3,10,27,46,5,40,3,10,29,1,1,1,1,1,1,23,5,18,3,7,15,"85,714",100,"90,476",100,100,90,"93,878",100,"95,238",100,100,"96,667",2.76,2.79,2.63,2.85,2.85,2.7,4.01,3.53,3.1,4.01,3.53,3.1,3
39,2011,SANTA MARIA,1402,FÍSICA (LICENCIATURA),CCNE,3.19,2.8,3.12,4.65,4.41,5,0.89,1.11,0.98,3.18,116,18,10,97,12,5,2,30,6,26,4,11,15,112,10,93,5,18,46,109,9,92,5,17,44,1,1,1,1,1,1,12,1,12,1,1,5,30,6,25,3,11,13,29,6,24,3,11,12,30,4,27,2,7,15,1,1,1,1,1,1,"25,862",60,"26,804",80,"61,111","31,915",25,60,"24,742",60,"61,111","25,532",2.79,3.22,3.14,2.81,3.33,3.35,4.69,4.06,3.73,4.69,4.06,3.7,4
91,2014,SANTA MARIA,1402,FÍSICA (LICENCIATURA),CCNE,3.09,2.61,2.57,4.52,4.03,5,2.17,2.18,3,3.09,131,25,13,110,18,7,2,29,5,26,3,9,18,96,13,78,7,22,37,92,9,75,4,17,36,1,1,1,1,1,1,29,3,29,3,4,21,33,6,28,3,11,15,46,5,38,3,12,24,63,7,50,3,15,29,60,10,46,5,17,24,"22,137","38,462","23,636","42,857",36,"32,143","35,115","38,462","34,545","42,857",48,"42,857",2.63,2.84,2.76,2.68,2.92,2.87,4.56,3.76,3.72,4.56,3.76,3.27,4
47,2011,SANTA MARIA,3001,GEOGRAFIA (BACHARELADO),CCNE,2.27,3.78,3.36,0,0,0,2.3,2.14,2.24,2.27,52,12,5,40,9,3,2,38,5,28,3,10,21,40,5,29,3,12,18,37,4,27,3,10,18,45,5,33,3,12,22,45,5,33,3,12,22,16,2,12,1,5,9,15,2,11,1,4,9,44,5,33,3,12,22,1,1,1,1,1,1,"73,077",100,70,100,"83,333",75,"28,846",40,27.5,"33,333","33,333","32,143",2.83,3.01,2.95,2.76,2.93,2.62,4.4,3.97,3.69,4.04,3.97,3.15,Unidade com cursos não reconhecidos até 30/09/2012
48,2011,SANTA MARIA,3002,GEOGRAFIA (LICENCIATURA),CCNE,3.26,3.5,2.96,4.73,3.5,5,1.11,2.55,1.69,3.24,166,32,12,109,16,4,2,41,6,24,2,12,13,114,12,61,4,30,20,146,11,91,3,31,32,1,1,1,1,1,1,24,3,22,3,5,15,65,5,37,1,14,10,42,5,27,2,8,14,34,5,23,2,12,11,1,1,1,1,1,1,"24,699",50,"22,018",50,37.5,32.5,"25,301","41,667","24,771",50,25,35,2.81,3.06,3.25,2.71,2.98,2.93,4.43,4.2,4.2,3.87,3.83,3.33,4
100,2014,SANTA MARIA,3002,GEOGRAFIA (LICENCIATURA),CCNE,3.23,3.15,2.69,4.67,4.34,5,1.34,2.21,2.7,3.23,200,38,13,131,19,4,2,37,6,25,2,12,16,127,12,69,3,29,32,181,12,113,3,32,45,1,1,1,1,1,1,14,1,14,1,1,10,49,8,28,3,15,13,51,5,34,1,13,20,70,12,40,4,21,22,84,10,53,3,21,25,18.5,"46,154","19,084",50,"31,579",29.63,25.5,"38,462","25,954",25,"34,211","37,037",2.72,2.87,3.15,2.73,3.05,3.16,4.16,4.15,4.15,3.73,3.57,3.28,4
36,2011,SANTA MARIA,702,MATEMÁTICA (LICENCIATURA),CCNE,3.67,3.96,4.1,4.62,3.04,5,1.23,2.32,1.66,3.65,313,53,25,182,23,5,2,25,6,20,3,9,12,264,25,135,5,52,59,303,25,174,5,53,69,1,1,1,1,1,1,45,3,39,3,8,28,18,6,14,2,7,9,17,5,15,3,6,9,68,8,48,3,19,34,1,1,1,1,1,1,"7,987",24,"10,989",60,"16,981","16,667","5,431",20,"8,242",60,"11,321",12.5,2.62,3.09,3.24,2.67,3.2,3.68,4.85,4.21,4.21,4.85,4.21,4.21,4
86,2014,SANTA MARIA,702,MATEMÁTICA (LICENCIATURA),CCNE,2.99,2.82,2.76,4.86,3.7,5,0,1.96,2.9,2.99,328,65,28,193,31,8,2,73,8,51,3,23,27,283,27,152,7,57,68,327,28,192,8,65,80,1,1,1,1,1,1,36,3,31,3,8,19,81,9,55,2,24,22,64,8,48,2,23,23,55,10,26,3,12,13,153,23,70,6,40,24,"22,256","28,571","26,425",37.5,"35,385",33.75,"19,512","28,571",24.87,25,"35,385",28.75,2.55,2.72,2.73,2.58,2.77,2.71,4.63,4.15,4.15,4.63,4.01,3.26,4
40,2011,SANTA MARIA,1501,QUÍMICA (BACHARELADO),CCNE,3.2,2.91,2.85,4.48,4.05,5,0.17,3.89,1.66,3.15,79,24,11,43,12,3,2,18,3,17,2,7,12,41,9,10,1,16,5,78,11,42,3,23,32,1,1,1,1,1,1,21,3,21,3,8,14,23,3,20,1,8,14,19,3,18,2,6,14,26,4,20,2,9,11,1,1,1,1,1,1,"22,785","27,273","39,535","66,667","29,167","36,364","24,051","27,273",41.86,"66,667",25,"42,424",2.64,2.88,2.87,2.97,3.07,3.16,4.36,4.34,3.47,4.36,4.34,3.33,4
92,2014,SANTA MARIA,1501,QUÍMICA (BACHARELADO),CCNE,3.38,3.68,3.1,3.76,4.04,5,2.04,1.61,2.52,3.38,94,27,13,53,14,4,2,7,1,6,1,2,3,74,12,34,3,21,24,64,9,27,2,18,17,1,1,1,1,1,1,31,3,30,3,7,25,4,1,3,1,2,2,5,1,4,1,1,3,55,8,37,3,17,26,62,10,31,3,17,25,"7,447",0,"11,321",0,"7,407","7,692","5,319","7,692","7,547",25,"3,704","7,692",2.58,2.66,2.55,2.82,2.96,3.07,4.38,3.41,3.38,4.22,3.41,3.38,4
41,2011,SANTA MARIA,1502,QUÍMICA (LICENCIATURA),CCNE,3.04,2.79,2.41,4.49,3.89,5,1.7,2.95,2.2,3.03,157,22,11,104,13,5,2,60,10,48,4,15,30,115,10,62,4,18,29,135,10,82,4,20,35,1,1,1,1,1,1,24,3,23,3,5,16,75,9,56,3,15,25,58,9,48,3,14,27,53,7,38,4,14,26,1,1,1,1,1,1,"38,217","90,909","46,154",80,"68,182","65,217","36,943","81,818","46,154",60,"63,636","58,696",2.74,3.19,3.32,2.83,3.2,3.16,4.59,4.07,3.82,4.59,4.07,3.82,4
93,2014,SANTA MARIA,1502,QUÍMICA (LICENCIATURA),CCNE,3.3,3.52,2.62,4.63,3.78,5,2.23,2.79,3.29,3.3,180,30,15,126,18,6,2,34,6,30,4,12,22,72,9,30,3,15,15,130,10,84,4,19,36,1,1,1,1,1,1,40,5,37,4,10,27,66,6,58,4,12,33,21,3,18,2,7,16,67,8,40,3,16,26,60,8,37,4,13,19,"18,889",40,23.81,"66,667",40,"36,667","11,667",20,"14,286","33,333","23,333","26,667",2.76,2.96,2.91,2.86,3.17,3.18,4.34,4.34,3.99,4.34,4.34,3.99,4
3,2007,SANTA MARIA,17,AGRONOMIA,CCR,3.56,4.31,2.89,0,3.43,5,1.77,2.27,1.97,3.06,101,25,8,61,15,3,3,12,2,11,2,5,4,54,7,18,2,16,9,63,6,28,2,19,12,1,1,1,1,1,1,29,3,28,3,10,16,33,3,24,1,10,9,5,2,5,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,"11,881",25,"18,033","66,667",20,"12,903",4.95,25,"8,197","66,667",12,"6,452",2.62,2.87,2.84,2.8,3.16,3.28,4,3.97,3.74,4,3.97,3.74,4
25,2010,SANTA MARIA,17,AGRONOMIA,CCR,3.46,3.83,2.87,4.51,3.81,5,1.03,2.88,1.77,3.32,143,37,12,83,20,5,3,35,6,33,5,14,22,89,10,32,4,31,13,134,12,76,5,36,40,2,2,2,2,2,2,32,5,31,5,13,20,79,11,50,5,25,27,24,5,24,5,11,16,55,7,43,5,18,29,2,2,2,2,2,2,"24,476",50,"39,759",100,"37,838",50,"16,783","41,667","28,916",100,29.73,"36,364",2.79,3.06,3.2,3.07,3.47,3.92,4.55,4.37,4.37,4.55,4.37,4.37,4
73,2013,SANTA MARIA,17,AGRONOMIA,CCR,3.67,3.69,3.73,4.71,3.99,5,1.2,2.71,3.04,3.67,162,42,16,92,19,5,3,19,3,17,3,11,8,97,13,30,2,30,11,152,15,82,4,41,41,2,2,2,2,2,2,34,5,32,5,10,22,18,3,15,2,12,7,10,1,10,1,6,6,44,5,31,4,11,20,71,10,35,3,26,11,"11,728",18.75,"18,478",60,26.19,16,"6,173",6.25,10.87,20,"14,286",12,2.92,3.19,3.17,3.09,3.5,3.56,4.03,3.99,3.86,4.03,3.99,3.86,4
58,2011,SANTA MARIA,6405,ENGENHARIA FLORESTAL,CCR,2.07,1.24,1.24,4.17,3.59,5,0,2.1,0.84,2.03,40,9,3,33,7,3,3,35,3,31,3,8,23,27,2,20,2,8,13,40,3,33,3,9,23,2,2,2,2,2,2,15,3,15,3,5,13,39,3,33,3,9,23,39,3,33,3,9,23,22,3,19,3,6,15,2,2,2,2,2,2,87.5,100,"93,939",100,"88,889",100,97.5,100,100,100,100,100,2.85,2.83,3.01,2.98,3.06,3.01,4.47,3.69,3.69,4.47,3.69,3.69,3
116,2014,SANTA MARIA,6405,ENGENHARIA FLORESTAL,CCR,2.81,3.18,1.57,4.44,4.03,5,1.76,2.72,2.06,2.81,43,11,3,36,9,3,3,17,3,14,3,8,11,17,3,11,3,9,6,39,3,33,3,11,24,2,2,2,2,2,2,17,3,16,3,4,15,28,3,25,3,10,18,12,2,12,2,6,9,20,2,17,2,5,15,23,3,18,3,11,12,"39,535",100,"38,889",100,"72,727","40,741","27,907","66,667","33,333","66,667","54,545","33,333",2.69,3.15,3.06,2.74,3.21,3.06,4.34,4.34,3.3,4.34,4.34,3.3,3
1,2007,SANTA MARIA,5,MEDICINA VETERINÁRIA,CCR,2.92,3.28,2,0,3.66,5,1.94,2.26,2.06,2.59,101,24,9,36,10,3,3,21,2,17,2,5,12,70,7,11,2,14,8,56,6,5,1,12,4,1,1,1,1,1,1,12,2,12,2,3,6,73,5,28,2,16,17,16,2,15,2,5,11,1,1,1,1,1,1,1,1,1,1,1,1,"20,792","22,222","47,222","66,667","20,833","52,174","15,842","22,222","41,667","66,667","20,833","47,826",2.42,2.33,2.26,2.97,2.92,3.19,4.11,4.11,4.11,4.11,4.11,4.11,3
22,2010,SANTA MARIA,5,MEDICINA VETERINÁRIA,CCR,3.79,3.76,4.17,4.42,3.95,5,0.71,3.28,1.74,3.77,127,27,8,43,12,3,3,11,2,11,2,5,6,85,6,10,2,18,5,118,7,34,2,24,21,1,1,1,1,1,1,19,1,18,1,5,11,18,2,10,2,7,6,13,2,12,2,5,7,42,2,21,2,6,15,1,1,1,1,1,1,"8,661",25,"25,581","66,667","18,519","21,429","10,236",25,"27,907","66,667","18,519",25,2.74,2.81,2.87,3.39,3.39,3.79,4.49,4.17,4.17,4.49,4.17,4.17,4
69,2013,SANTA MARIA,5,MEDICINA VETERINÁRIA,CCR,3.32,3.77,2.55,4.18,4.06,5,2.19,2.56,3.23,3.32,143,33,10,47,13,4,3,30,3,16,3,11,11,91,8,11,2,21,7,104,8,20,2,27,10,1,1,1,1,1,1,24,3,24,3,7,18,57,5,19,3,18,13,24,3,19,3,9,12,67,7,34,4,17,25,55,5,9,2,16,6,"20,979",30,"34,043",75,"33,333","35,484","16,783",30,"40,426",75,"27,273",38.71,2.8,2.97,2.84,3.05,3.19,3.35,4.17,4.06,3.76,4.04,3.79,3.76,4
8,2007,SANTA MARIA,51,ZOOTECNIA,CCR,2.68,3.33,1.88,0,2.33,5,0.83,2.74,1.6,2.29,48,8,1,34,7,1,3,23,1,21,1,6,9,23,1,10,1,4,2,43,1,30,1,7,14,1,1,1,1,1,1,25,1,23,1,5,13,33,1,26,1,7,10,15,1,14,1,4,6,1,1,1,1,1,1,1,1,1,1,1,1,"47,917",0,"61,765",0,75,56.25,31.25,100,"41,176",100,50,37.5,2.64,3.04,2.68,2.9,3.2,2.68,4.42,4.2,2.68,4.42,4.2,2.68,3
