_id;ano;municipio;codigo_curso;nome_curso;centro;cpc_antigo;nc;nidd;nm;nd;nr;no;nf;na;cpc_f2013;t_ies_br;t_ies_sul;t_ies_rs;t_ifes_br;t_ifes_sul;t_ifes_rs;id_centro;POSICAOBRASILCPC;POSICAORSCPC;POSICAOPUBLICABRASILCPC;POSICAOPUBLICARSCPC;POSICAOSULCPC;POSICAOIFESCPC;POSICAOBRASILINFRA;POSICAORSINFRA;POSICAOPUBLICABRASILINFRA;POSICAOPUBLICARSINFRA;POSICAOSULINFRA;POSICAOIFESINFRA;POSICAOBRASILPEDAG;POSICAORSPEDAG;POSICAOPUBLICABRASILPEDAG;POSICAOPUBLICARSPEDAG;POSICAOSULPEDAG;POSICAOIFESPEDAG;POSICAOBRASILREGIME;POSICAORSREGIME;POSICAOPUBLICABRASILREGIME;POSICAOPUBLICARSREGIME;POSICAOSULREGIME;POSICAOIFESREGIME;POSICAOBRASILDOUTOR;POSICAORSDOUTOR;POSICAOPUBLICABRASILDOUTOR;POSICAOPUBLICARSDOUTOR;POSICAOSULDOUTOR;POSICAOIFESDOUTOR;POSICAOBRASILIDD;POSICAORSIDD;POSICAOPUBLICABRASILIDD;POSICAOPUBLICARSIDD;POSICAOSULIDD;POSICAOIFESIDD;POSICAOBRASILENADE;POSICAORSENADE;POSICAOPUBLICABRASILENADE;POSICAOPUBLICARSENADE;POSICAOSULENADE;POSICAOIFESENADE;POSICAOBRASILMESTRE;POSICAORSMESTRE;POSICAOPUBLICABRASILMESTRE;POSICAOPUBLICARSMESTRE;POSICAOSULMESTRE;POSICAOIFESMESTRE;POSICAOBRASILAMPLIACAO;POSICAORSAMPLIACAO;POSICAOPUBLICABRASILAMPLIACAO;POSICAOPUBLICARSAMPLIACAO;POSICAOSULAMPLIACAO;POSICAOIFESAMPLIACAO;DISTANCIABRASILCPC;DISTANCIARSCPC;DISTANCIAPUBLICACPC;DISTANCIAPUBLICARSCPC;DISTANCIASULCPC;DISTANCIAIFESCPC;DISTANCIABRASILENADE;DISTANCIARSENADE;DISTANCIAPUBLICAENADE;DISTANCIAPUBLICARSENADE;DISTANCIASULENADE;DISTANCIAIFESENADE
11;2009;SANTA MARIA;8;COMUNICAÇÃO SOCIAL;CCSH;3.35;4.60;2.34;3.57;3.46;5.00;1.06;0.63;0.89;3.05;;;;;;;5;39;19;18;6;21;17;573;44;72;5;115;39;573;42;81;3;110;44;3;3;3;3;3;3;53;8;44;5;12;38;439;49;71;7;112;38;13;4;10;3;4;9;197;42;64;7;61;40;3;3;3;3;3;3;6.26;38.776;18;85.714;17.213;27.869;2.087;8.163;10;42.857;3.279;14.754
12;2009;SANTA MARIA;8;COMUNICAÇÃO SOCIAL;CCSH;3.91;4.96;4.42;3.75;3.32;5.00;1.03;1.15;1.08;3.88;;;;;;;5;7;2;7;2;2;7;533;43;43;4;109;17;576;43;82;4;111;45;2;2;2;2;2;2;68;12;50;6;16;42;177;19;37;3;45;20;4;1;4;1;1;4;150;37;53;6;53;33;2;2;2;2;2;2;1.124;4.082;7;28.571;1.639;11.475;0.642;2.041;4;14.286;0.82;6.557
13;2009;FREDERICO WESTPHALEN;8;COMUNICAÇÃO SOCIAL;CESNORS FW;3.22;4.08;3.03;5.00;2.04;5.00;2.61;1.30;2.09;3.28;;;;;;;8;62;27;22;7;31;20;522;42;37;3;106;14;290;37;17;1;77;5;1;1;1;1;1;1;158;25;70;7;35;55;305;37;53;4;81;30;35;13;18;7;17;15;1;1;1;1;1;1;1;1;1;1;1;1;9.952;55.102;22;100;25.41;32.787;5.618;26.531;18;100;13.934;24.59
14;2009;SANTA MARIA;8;COMUNICAÇÃO SOCIAL;CCSH;3.57;4.56;2.57;3.93;4.21;5.00;1.00;2.00;1.40;3.37;;;;;;;5;23;11;15;5;12;15;484;39;22;1;101;3;579;44;83;5;112;46;4;4;4;4;4;4;30;4;29;4;5;25;385;46;63;6;101;36;15;5;12;4;6;11;123;32;50;5;45;31;4;4;4;4;4;4;3.692;22.449;15;71.429;9.836;24.59;2.408;10.204;12;57.143;4.918;18.033
15;2009;SANTA MARIA;13;CIÊNCIAS ECONÔMICAS;CCSH;2.71;2.93;2.46;3.78;2.21;5.00;1.65;2.23;1.88;2.77;;;;;;;5;51;5;30;3;13;21;107;14;32;3;31;16;125;15;49;4;34;24;1;1;1;1;1;1;43;6;29;3;11;24;101;14;43;4;27;22;45;6;25;3;12;18;64;10;29;1;19;19;1;1;1;1;1;1;32.692;29.412;42.857;75;32.5;60;28.846;35.294;35.714;75;30;51.429
16;2009;SANTA MARIA;18;PSICOLOGIA;CCSH;3.59;4.43;3.12;3.76;3.73;5.00;0.83;1.59;1.13;3.4;;;;;;;5;16;3;12;2;6;10;245;26;30;2;65;16;252;26;35;2;65;22;1;1;1;1;1;1;19;2;18;2;4;15;102;16;24;1;34;15;7;1;6;1;1;6;130;19;35;2;39;24;1;1;1;1;1;1;6.015;11.538;25.532;100;9.091;32.258;2.632;3.846;12.766;50;1.515;19.355
17;2009;SANTA MARIA;22;CIÊNCIAS CONTÁBEIS;CCSH;3.39;4.66;3.67;3.69;1.11;5.00;2.62;1.71;2.26;3.41;;;;;;;5;28;3;18;2;9;13;600;51;65;3;147;26;341;44;26;2;108;10;1;1;1;1;1;1;202;25;45;2;55;30;142;16;27;3;41;12;7;1;4;1;2;4;87;16;22;1;31;14;1;1;1;1;1;1;4.204;5.882;17.476;66.667;5.806;33.333;1.051;1.961;3.883;33.333;1.29;10.256
18;2009;SANTA MARIA;26;DESIGN;CAL;3.18;3.92;2.53;4.27;2.96;5.00;1.39;2.96;2.02;3.18;;;;;;;1;12;3;9;2;6;5;68;11;4;1;28;1;101;13;17;2;34;11;1;1;1;1;1;1;13;3;10;2;4;8;56;11;13;2;24;7;11;3;8;2;8;4;9;3;5;1;5;3;1;1;1;1;1;1;10.714;23.077;39.13;100;16.667;35.714;9.821;23.077;34.783;100;22.222;28.571
19;2009;SANTA MARIA;39;TEATRO;CAL;3.27;5.00;4.62;2.70;0.00;5.00;2.14;2.08;2.11;3.56;;;;;;;1;7;1;7;1;3;4;16;1;5;1;4;1;18;2;10;2;4;7;1;1;1;1;1;1;30;2;20;2;6;15;14;1;9;1;2;7;1;1;1;1;1;1;22;2;17;2;6;12;1;1;1;1;1;1;21.875;0;33.333;0;50;26.667;3.125;50;4.762;50;16.667;6.667
20;2009;SANTA MARIA;43;MÚSICA;CAL;3.75;3.72;4.64;3.61;3.41;5.00;1.26;3.18;2.03;3.91;;;;;;;1;5;2;5;2;2;4;11;2;5;2;2;5;42;5;27;3;10;17;1;1;1;1;1;1;9;2;8;2;4;6;13;2;8;2;4;5;5;2;4;2;2;4;29;5;21;3;12;14;1;1;1;1;1;1;8.772;40;12.821;66.667;14.286;16.667;8.772;40;10.256;66.667;14.286;16.667
21;2009;SANTA MARIA;65;ARQUIVOLOGIA;CCSH;4.05;4.44;0.00;2.98;2.41;5.00;5.00;5.00;5.00;2.72;;;;;;;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;2;6;2;3;4;1;1;1;1;1;1;2;2;2;2;2;2;5;2;5;2;2;4;1;1;1;1;1;1;0;0;0;0;0;0;25;100;25;100;66.667;33.333
22;2010;SANTA MARIA;5;MEDICINA VETERINÁRIA;CCR;3.79;3.76;4.17;4.42;3.95;5.00;0.71;3.28;1.74;3.85;;;;;;;3;11;2;11;2;5;6;85;6;10;2;18;5;118;7;34;2;24;21;1;1;1;1;1;1;19;1;18;1;5;11;18;2;10;2;7;6;13;2;12;2;5;7;42;2;21;2;6;15;1;1;1;1;1;1;8.661;25;25.581;66.667;18.519;21.429;10.236;25;27.907;66.667;18.519;25
23;2010;SANTA MARIA;6;ODONTOLOGIA;CCS;3.48;4.02;3.92;3.79;2.89;5.00;0.91;0.87;0.89;3.42;;;;;;;4;22;4;16;3;7;8;156;10;41;3;29;20;157;10;42;3;30;22;1;1;1;1;1;1;40;4;29;3;9;19;21;2;9;1;5;3;9;2;5;2;3;4;85;6;34;3;20;21;1;1;1;1;1;1;13.174;40;31.373;100;22.581;28.571;5.389;20;9.804;66.667;9.677;14.286
24;2010;SANTA MARIA;12;MEDICINA;CCS;3.03;4.11;3.88;3.29;2.02;5.00;0.82;2.23;1.38;3.37;;;;;;;4;34;4;28;3;10;17;112;10;38;5;24;16;123;10;49;5;24;23;1;1;1;1;1;1;51;5;37;4;9;27;12;1;10;1;3;8;22;3;18;2;7;10;56;7;35;4;13;23;1;1;1;1;1;1;24.113;40;41.791;60;38.462;44.737;15.603;30;26.866;40;26.923;26.316
25;2010;SANTA MARIA;17;AGRONOMIA;CCR;3.46;3.83;2.87;4.51;3.81;5.00;1.03;2.88;1.77;3.39;;;;;;;3;35;6;33;5;14;22;89;10;32;4;31;13;134;12;76;5;36;40;2;2;2;2;2;2;32;5;31;5;13;20;79;11;50;5;25;27;24;5;24;5;11;16;55;7;43;5;18;29;2;2;2;2;2;2;24.476;50;39.759;100;37.838;50;16.783;41.667;28.916;100;29.73;36.364
26;2010;FREDERICO WESTPHALEN;17;AGRONOMIA;CESNORS FW;4.37;4.80;4.80;4.83;4.17;5.00;2.70;3.49;3.02;4.54;;;;;;;8;2;1;2;1;1;2;64;8;15;2;22;5;62;7;16;2;21;6;1;1;1;1;1;1;22;3;22;3;10;13;18;2;11;1;3;6;2;1;2;1;1;2;25;1;23;1;6;14;1;1;1;1;1;1;1.399;0;2.41;0;0;4.545;1.399;8.333;2.41;20;2.703;4.545
27;2010;SANTA MARIA;19;FARMÁCIA;CCS;3.61;4.19;3.80;4.27;3.78;5.00;0.36;0.90;0.58;3.54;;;;;;;4;18;3;16;3;8;11;238;19;33;3;57;15;248;19;42;3;54;23;1;1;1;1;1;1;19;3;16;3;6;12;49;5;13;2;14;5;14;1;13;1;5;9;81;12;24;3;30;16;1;1;1;1;1;1;7.059;15.789;32.653;100;14.035;39.286;5.49;5.263;26.531;33.333;8.772;32.143
28;2010;SANTA MARIA;23;ENFERMAGEM;CCS;3.65;3.66;3.43;3.66;4.11;5.00;2.24;2.99;2.54;3.65;;;;;;;4;23;2;16;2;4;13;392;29;35;4;79;13;398;30;54;4;78;24;2;2;2;2;2;2;28;3;21;2;7;16;138;9;51;3;22;25;49;3;41;3;5;25;168;21;54;6;46;34;2;2;2;2;2;2;4.637;6.061;15.385;33.333;4.444;26.531;9.879;9.091;39.423;50;5.556;51.02
29;2010;PALMEIRA DAS MISSÕES;23;ENFERMAGEM;CESNORS PM;3.66;3.79;4.07;4.85;2.79;5.00;2.59;3.30;2.87;3.85;;;;;;;9;21;1;15;1;3;12;364;25;25;1;73;7;352;27;40;3;68;15;1;1;1;1;1;1;71;9;45;6;17;31;71;7;25;1;11;11;40;2;33;2;4;19;18;3;10;1;7;6;1;1;1;1;1;1;4.234;0;14.423;0;3.333;24.49;8.065;6.061;31.731;33.333;4.444;38.776
30;2010;SANTA MARIA;27;FONOAUDIOLOGIA;CCS;3.59;3.83;0.00;4.31;3.50;5.00;2.38;2.47;2.42;2.41;;;;;;;4;5;2;4;2;3;4;43;6;8;2;10;4;40;6;7;2;10;4;1;1;1;1;1;1;9;2;7;2;2;5;1;1;1;1;1;1;7;2;7;2;3;4;14;4;7;2;7;4;1;1;1;1;1;1;10.204;33.333;30.769;100;30;50;14.286;33.333;53.846;100;30;50
31;2010;SANTA MARIA;35;EDUCAÇÃO FÍSICA;CEFD;3.87;3.94;4.17;4.56;4.63;5.00;1.14;2.40;1.64;3.96;;;;;;;7;4;1;3;1;1;2;172;17;20;2;48;6;189;19;31;3;53;14;2;1;1;1;1;1;7;1;6;1;2;4;41;5;7;1;9;4;15;2;8;1;3;5;24;3;10;1;10;5;1;1;1;1;1;1;2.051;0;9.091;0;0;12.5;7.692;10.526;24.242;33.333;5.556;31.25
32;2010;SANTA MARIA;36;FISIOTERAPIA;CCS;3.42;3.75;3.68;3.86;3.91;5.00;0.57;0.05;0.36;3.34;;;;;;;4;24;3;12;1;6;7;345;22;35;1;58;12;343;22;36;1;57;13;1;1;1;1;1;1;16;2;11;1;3;8;72;8;14;1;15;6;24;1;19;1;4;9;95;13;24;1;28;11;1;1;1;1;1;1;6.838;13.636;29.268;0;10.169;50;6.838;4.545;46.341;100;6.78;64.286
33;2010;PALMEIRA DAS MISSÕES;51;ZOOTECNIA;CESNORS PM;3.75;3.88;3.87;5.00;4.17;5.00;1.65;1.85;1.73;3.81;;;;;;;9;8;1;8;1;3;6;48;3;37;3;11;20;47;2;36;2;8;20;1;1;1;1;1;1;12;2;12;2;5;4;19;1;14;1;3;10;9;1;9;1;3;7;1;1;1;1;1;1;1;1;1;1;1;1;12.121;0;14.545;0;25;17.647;13.636;33.333;16.364;33.333;25;20.588
34;2010;SANTA MARIA;51;ZOOTECNIA;CCR;3.43;3.48;3.19;4.64;3.61;5.00;1.21;3.86;2.27;3.51;;;;;;;3;16;3;16;3;7;9;21;2;12;2;5;8;50;3;39;3;9;23;2;2;2;2;2;2;23;3;22;3;8;13;33;2;28;2;10;17;14;2;14;2;6;10;29;3;25;3;8;14;2;2;2;2;2;2;24.242;100;29.091;100;58.333;26.471;21.212;66.667;25.455;66.667;50;29.412
35;2011;SANTA MARIA;21;ARQUITETURA E URBANISMO;CT;2.73;2.59;2.16;3.95;3.39;5.00;2.50;1.22;1.99;2.78;;;;;;;10;82;14;27;3;28;18;167;20;32;3;42;23;111;18;12;2;35;8;1;1;1;1;1;1;21;3;17;3;5;14;121;15;31;2;32;21;71;11;31;3;24;22;63;10;22;3;15;16;1;1;1;1;1;1;45.81;70;65.854;100;66.667;62.069;39.665;55;75.61;100;57.143;75.862
36;2011;SANTA MARIA;702;MATEMÁTICA (LICENCIATURA);CCNE;3.67;3.96;4.10;4.62;3.04;5.00;1.23;2.32;1.66;3.71;;;;;;;2;25;6;20;3;9;12;264;25;135;5;52;59;303;25;174;5;53;69;1;1;1;1;1;1;45;3;39;3;8;28;18;6;14;2;7;9;17;5;15;3;6;9;68;8;48;3;19;34;1;1;1;1;1;1;7.987;24;10.989;60;16.981;16.667;5.431;20;8.242;60;11.321;12.5
37;2011;SANTA MARIA;902;LETRAS (LICENCIATURA);CAL;2.93;2.49;1.91;4.81;3.47;5.00;2.32;4.42;3.16;3.01;;;;;;;1;135;21;60;6;37;27;153;16;17;2;34;4;325;23;112;5;47;38;1;1;1;1;1;1;37;5;26;3;9;20;318;23;146;6;52;46;240;22;113;6;48;39;49;15;19;3;22;9;1;1;1;1;1;1;31.84;84;32.432;100;62.712;46.552;56.604;88;61.081;100;81.356;67.241
38;2011;SANTA MARIA;1401;FÍSICA (BACHARELADO);CCNE;3.52;2.92;4.13;5.00;4.50;5.00;0.56;0.39;0.49;3.54;;;;;;;2;12;2;11;2;4;9;37;5;32;3;9;23;32;5;27;3;9;21;1;1;1;1;1;1;7;2;7;2;2;3;8;1;7;1;3;5;10;1;9;1;3;7;1;1;1;1;1;1;1;1;1;1;1;1;29.268;40;30.556;66.667;44.444;36;24.39;20;25;33.333;33.333;28
39;2011;SANTA MARIA;1402;FÍSICA (LICENCIATURA);CCNE;3.19;2.80;3.12;4.65;4.41;5.00;0.89;1.11;0.98;3.21;;;;;;;2;30;6;26;4;11;15;112;10;93;5;18;46;109;9;92;5;17;44;1;1;1;1;1;1;12;1;12;1;1;5;30;6;25;3;11;13;29;6;24;3;11;12;30;4;27;2;7;15;1;1;1;1;1;1;25.862;60;26.804;80;61.111;31.915;25;60;24.742;60;61.111;25.532
40;2011;SANTA MARIA;1501;QUÍMICA (BACHARELADO);CCNE;3.2;2.91;2.85;4.48;4.05;5.00;0.17;3.89;1.66;3.24;;;;;;;2;18;3;17;2;7;12;41;9;10;1;16;5;78;11;42;3;23;32;1;1;1;1;1;1;21;3;21;3;8;14;23;3;20;1;8;14;19;3;18;2;6;14;26;4;20;2;9;11;1;1;1;1;1;1;22.785;27.273;39.535;66.667;29.167;36.364;24.051;27.273;41.86;66.667;25;42.424
41;2011;SANTA MARIA;1502;QUÍMICA (LICENCIATURA);CCNE;3.04;2.79;2.41;4.49;3.89;5.00;1.70;2.95;2.20;3.1;;;;;;;2;60;10;48;4;15;30;115;10;62;4;18;29;135;10;82;4;20;35;1;1;1;1;1;1;24;3;23;3;5;16;75;9;56;3;15;25;58;9;48;3;14;27;53;7;38;4;14;26;1;1;1;1;1;1;38.217;90.909;46.154;80;68.182;65.217;36.943;81.818;46.154;60;63.636;58.696
42;2011;SANTA MARIA;1601;BIOLOGIA (BACHARELADO);CCNE;1.61;3.29;2.12;0.00;0.00;0.00;0.59;2.20;1.23;1.64;;;;;;;2;154;16;66;7;32;41;133;15;42;6;29;24;162;16;68;7;33;40;158;16;66;7;33;39;158;16;66;7;32;39;92;12;37;5;25;25;43;7;28;5;10;21;157;16;65;7;32;39;1;1;1;1;1;1;93.333;100;92.958;100;96.97;97.619;26.061;43.75;39.437;71.429;30.303;50
43;2011;SANTA MARIA;1602;BIOLOGIA (LICENCIATURA);CCNE;3.46;3.66;3.11;4.74;4.46;5.00;0.33;2.88;1.35;3.49;;;;;;;2;57;7;33;3;14;15;277;26;92;4;59;38;359;27;170;5;62;64;1;1;1;1;1;1;19;2;17;2;3;8;110;13;54;3;24;20;31;4;22;2;5;12;78;10;38;3;22;21;1;1;1;1;1;1;15.702;25.926;18.966;60;22.581;22.727;8.54;14.815;12.644;40;8.065;18.182
44;2011;SANTA MARIA;2001;PEDAGOGIA (LICENCIATURA);CE;3.64;3.43;3.51;4.56;3.55;5.00;2.37;3.98;3.01;3.72;;;;;;;6;44;8;16;1;12;10;496;42;27;2;115;5;665;45;131;3;129;55;1;1;1;1;1;1;63;5;43;3;12;33;100;11;28;1;21;12;82;9;34;1;19;15;157;19;69;4;46;41;1;1;1;1;1;1;5.098;16.327;7.306;0;7.643;13.699;9.502;18.367;15.525;20;12.102;20.548
45;2011;SANTA MARIA;2402;HISTÓRIA (LICENCIATURA);CCSH;2.06;1.70;0.31;4.50;3.48;5.00;1.89;3.12;2.38;2.12;;;;;;;5;234;21;106;4;46;46;173;19;50;2;43;20;233;20;103;3;44;43;1;1;1;1;1;1;37;5;27;3;11;19;247;21;115;4;46;46;235;21;109;4;44;44;90;13;51;2;25;29;1;1;1;1;1;1;88.302;100;80.916;100;95.833;86.792;88.679;100;83.206;100;91.667;83.019
46;2011;SANTA MARIA;2501;ARTES VISUAIS (LICENCIATURA);CAL;2.92;2.73;3.09;4.56;2.24;5.00;1.05;2.15;1.49;2.96;;;;;;;1;35;8;23;4;16;15;55;8;23;4;23;12;60;8;28;4;21;18;1;1;1;1;1;1;22;3;17;3;8;12;27;4;18;2;9;12;39;8;25;4;17;16;14;2;6;2;6;4;1;1;1;1;1;1;52.239;100;67.647;100;69.565;75;58.209;100;73.529;100;73.913;80
47;2011;SANTA MARIA;3001;GEOGRAFIA (BACHARELADO);CCNE;2.27;3.78;3.36;0.00;0.00;0.00;2.30;2.14;2.24;2.32;;;;;;;2;38;5;28;3;10;21;40;5;29;3;12;18;37;4;27;3;10;18;45;5;33;3;12;22;45;5;33;3;12;22;16;2;12;1;5;9;15;2;11;1;4;9;44;5;33;3;12;22;1;1;1;1;1;1;73.077;100;70;100;83.333;75;28.846;40;27.5;33.333;33.333;32.143
48;2011;SANTA MARIA;3002;GEOGRAFIA (LICENCIATURA);CCNE;3.26;3.50;2.96;4.73;3.50;5.00;1.11;2.55;1.69;3.31;;;;;;;2;41;6;24;2;12;13;114;12;61;4;30;20;146;11;91;3;31;32;1;1;1;1;1;1;24;3;22;3;5;15;65;5;37;1;14;10;42;5;27;2;8;14;34;5;23;2;12;11;1;1;1;1;1;1;24.699;50;22.018;50;37.5;32.5;25.301;41.667;24.771;50;25;35
49;2011;SANTA MARIA;3202;FILOSOFIA (LICENCIATURA);CCSH;3.38;2.86;2.93;4.63;3.89;5.00;1.70;4.58;2.85;3.45;;;;;;;5;21;4;8;2;8;6;37;3;3;1;7;2;88;8;34;3;20;21;1;1;1;1;1;1;15;3;10;2;6;6;44;4;21;2;14;9;38;5;19;3;12;12;34;5;18;2;13;10;1;1;1;1;1;1;21.429;44.444;19.048;66.667;34.783;25;38.776;55.556;45.238;100;52.174;50
50;2011;SANTA MARIA;3501;EDUCAÇÃO FÍSICA (LICENCIATURA);CEFD;1.66;0.43;0.00;4.75;4.66;5.00;1.00;0.87;0.95;1.68;;;;;;;7;387;35;85;3;93;38;398;37;84;4;95;34;404;37;91;4;96;37;1;1;1;1;1;1;12;3;9;3;6;6;402;35;86;2;93;35;403;35;87;2;93;36;24;7;8;1;12;3;1;1;1;1;1;1;93.478;94.595;86.735;75;96.875;95;97.343;94.595;88.776;50;96.875;90
