AREA,UF,REGIAO,ANO,CPCCONTINUO,NOTACONCLUINTES,NOTAPADRONIZADAIDD,NOTAPADRONIZADAMESTRES,NOTAPADRONIZADADOUTORES,NOMEIES,SIGLAIES,Publica_1_Privada_0,CATADMINISTRATIVA,ORGACADEMICA,MUNICIPIOCURSO,NOTAPADRONIZADADREGIME,NOTAPADRONIZADAPEDAG,CPC_FAIXA,NOTAPADRONIZADAINFRA,INGRESSANTESPARTICIPANTES,INGRESSANTESINSCRITOS,COD_AREA (cod_curso),COD_IES,AMPLIACAOFORMACAO(NA),CPC FORMULA2013
DIREITO,RJ,0,2012,"3,44","2,91","3,13","4,30","3,55",UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,Privada,Universidade,RIO DE JANEIRO,"3,68","3,93","4,00","4,52",68,159,2,165,"4,17","3,43"
DIREITO,RJ,0,2012,"3,16","2,40","2,96","4,20","3,30",UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,Privada,Universidade,CABO FRIO,"4,00","3,63","4,00","3,43",37,70,2,165,"3,55","3,16"
HISTÓRIA (LICENCIATURA),RJ,0,2011,"3,54","3,28","3,28","5,00","3,21",UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,PRIVADA,UNIVERSIDADES,CABO FRIO,"3,21","3,82","4,00","4,69",0,4,2402,165,"4,17","3,53"
HISTÓRIA (LICENCIATURA),RJ,0,2011,"2,96","2,61","2,26","4,23","3,33",UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,PRIVADA,UNIVERSIDADES,RIO DE JANEIRO,"3,33","3,65","4,00","4,06",24,47,2402,165,"3,82","2,95"
JORNALISMO,RJ,0,2012,"3,64","3,65","4,03","3,90","2,30",UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,Privada,Universidade,CABO FRIO,"3,53","3,79","4,00","4,14",35,43,803,165,"3,93","3,63"
JORNALISMO,RJ,0,2012,"3,10","3,01","3,24","3,66","2,59",UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,Privada,Universidade,RIO DE JANEIRO,"3,39","2,36","4,00","3,61",86,122,803,165,"2,86","3,08"
PSICOLOGIA,RJ,0,2012,"3,45","2,62","3,31","5,00","3,19",UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,Privada,Universidade,RIO DE JANEIRO,"4,05","3,78","4,00","4,32",75,175,18,165,"4,00","3,44"
PUBLICIDADE E PROPAGANDA,RJ,0,2012,"3,57","3,50","3,60","4,37","2,43",UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,Privada,Universidade,CABO FRIO,"3,61","4,43","4,00","4,16",53,79,804,165,"4,33","3,57"
PUBLICIDADE E PROPAGANDA,RJ,0,2012,"3,00","3,08","2,89","4,14","2,81",UNIVERSIDADE VEIGA DE ALMEIDA,UVA,0,Privada,Universidade,RIO DE JANEIRO,"3,75","2,57","4,00","2,25",158,210,804,165,"2,44","3,01"
ADMINISTRAÇÃO,PR,1,2012,"1,50","1,46","1,40","3,13","0,58",UNIVERSIDADE TUIUTI DO PARANÁ,UTP,0,Privada,Universidade,CURITIBA,"1,67","1,71","2,00","1,86",45,94,1,355,"1,77","1,49"
CIÊNCIAS CONTÁBEIS,PR,1,2012,"2,55","2,99","3,32","2,50","0,81",UNIVERSIDADE TUIUTI DO PARANÁ,UTP,0,Privada,Universidade,CURITIBA,"1,25","2,37","3,00","2,73",34,66,22,355,"2,52","2,54"
DIREITO,PR,1,2012,"2,17","1,46","2,00","3,20","1,41",UNIVERSIDADE TUIUTI DO PARANÁ,UTP,0,Privada,Universidade,CURITIBA,"3,36","3,11","3,00","3,23",124,334,2,355,"3,15","2,17"
HISTÓRIA (BACHARELADO),PR,1,2011,"2,99","2,40","2,79","2,14","2,27",UNIVERSIDADE TUIUTI DO PARANÁ,UTP,0,PRIVADA,UNIVERSIDADES,CURITIBA,"4,18","5,00","4,00","4,57",2,4,2401,355,"4,83","3,00"
HISTÓRIA (LICENCIATURA),PR,1,2011,"3,15","3,05","2,82","3,89","2,50",UNIVERSIDADE TUIUTI DO PARANÁ,UTP,0,PRIVADA,UNIVERSIDADES,CURITIBA,"4,23","3,75","4,00","3,87",20,33,2402,355,"3,80","3,15"
JORNALISMO,PR,1,2012,"2,57","2,49","2,70","3,39","1,28",UNIVERSIDADE TUIUTI DO PARANÁ,UTP,0,Privada,Universidade,CURITIBA,"2,86","2,22","3,00","3,96",11,11,803,355,"2,92","2,54"
PSICOLOGIA,PR,1,2012,"2,86","2,34","3,57","3,95","1,49",UNIVERSIDADE TUIUTI DO PARANÁ,UTP,0,Privada,Universidade,CURITIBA,"4,21","1,65","3,00","2,42",24,63,18,355,"1,95","2,84"
PUBLICIDADE E PROPAGANDA,PR,1,2012,"1,95","2,05","1,66","3,53","1,43",UNIVERSIDADE TUIUTI DO PARANÁ,UTP,0,Privada,Universidade,CURITIBA,"2,71","2,08","3,00","1,59",32,54,804,355,"1,89","1,96"
ADMINISTRAÇÃO,RJ,0,2012,"3,00","3,22","3,32","2,96","1,04",UNIVERSIDADE SEVERINO SOMBRA,USS,0,Privada,Universidade,VASSOURAS,"1,30","4,62","4,00","5,00",31,76,1,140,"4,77","3,00"
ADMINISTRAÇÃO,RJ,0,2012,"2,02","1,87","2,30","2,22","0,78",UNIVERSIDADE SEVERINO SOMBRA,USS,0,Privada,Universidade,MARICA,"0,56","3,00","3,00","3,92",17,51,1,140,"3,37","2,01"
PSICOLOGIA,RJ,0,2012,"3,08","2,72","3,33","4,47","0,82",UNIVERSIDADE SEVERINO SOMBRA,USS,0,Privada,Universidade,VASSOURAS,"2,40","4,74","4,00","5,00",30,67,18,140,"4,85","3,07"
ADMINISTRAÇÃO,SP,0,2012,"2,51","2,35","2,23","4,47","1,49",UNIVERSIDADE SÃO JUDAS TADEU,USJT,0,Privada,Universidade,SAO PAULO,"1,33","3,54","3,00","4,43",761,1270,1,203,"3,90","2,49"
CIÊNCIAS CONTÁBEIS,SP,0,2012,"2,81","2,78","2,62","4,62","1,72",UNIVERSIDADE SÃO JUDAS TADEU,USJT,0,Privada,Universidade,SAO PAULO,"1,25","3,69","3,00","4,79",310,474,22,203,"4,13","2,79"
CIÊNCIAS ECONÔMICAS,SP,0,2012,"2,70","2,30","2,91","4,68","1,82",UNIVERSIDADE SÃO JUDAS TADEU,USJT,0,Privada,Universidade,SAO PAULO,"1,36","2,37","3,00","4,24",108,147,13,203,"3,12","2,67"
DIREITO,SP,0,2012,"2,85","2,84","2,94","4,90","2,03",UNIVERSIDADE SÃO JUDAS TADEU,USJT,0,Privada,Universidade,SAO PAULO,"1,30","2,75","3,00","3,70",878,1386,2,203,"3,13","2,84"
FILOSOFIA (BACHARELADO),SP,0,2011,"3,27","2,95","1,99","5,00","5,00",UNIVERSIDADE SÃO JUDAS TADEU,USJT,0,PRIVADA,UNIVERSIDADES,SÃO PAULO,"4,33","3,16","4,00","3,91",15,50,3201,203,"3,46","3,26"
FILOSOFIA (LICENCIATURA),SP,0,2011,"4,87","5,00","5,00","5,00","4,44",UNIVERSIDADE SÃO JUDAS TADEU,USJT,0,PRIVADA,UNIVERSIDADES,SÃO PAULO,"4,40","5,00","5,00","5,00",15,50,3202,203,"5,00","4,87"
JORNALISMO,SP,0,2012,"2,78","2,99","3,35","3,39","1,12",UNIVERSIDADE SÃO JUDAS TADEU,USJT,0,Privada,Universidade,SAO PAULO,"1,71","1,97","3,00","4,11",127,168,803,203,"2,83","2,74"
PSICOLOGIA,SP,0,2012,"3,23","2,76","3,32","4,81","2,72",UNIVERSIDADE SÃO JUDAS TADEU,USJT,0,Privada,Universidade,SAO PAULO,"3,19","2,80","4,00","3,98",166,234,18,203,"3,27","3,21"
PUBLICIDADE E PROPAGANDA,SP,0,2012,"1,74","1,50","1,19","4,18","1,49",UNIVERSIDADE SÃO JUDAS TADEU,USJT,0,Privada,Universidade,SAO PAULO,"1,55","2,08","2,00","2,82",253,347,804,203,"2,38","1,73"
ADMINISTRAÇÃO,SP,0,2012,"2,66","1,99","1,27","4,71","3,71",UNIVERSIDADE SÃO FRANCISCO,USF,0,Privada,Universidade,SAO PAULO,"4,41","4,06","3,00","3,65",6,17,1,670,"3,90","2,67"
ADMINISTRAÇÃO,SP,0,2012,"2,66","1,95","1,60","4,66","3,38",UNIVERSIDADE SÃO FRANCISCO,USF,0,Privada,Universidade,CAMPINAS,"3,62","3,75","3,00","4,04",28,58,1,670,"3,86","2,66"
ADMINISTRAÇÃO,SP,0,2012,"2,65","1,74","1,56","4,87","3,05",UNIVERSIDADE SÃO FRANCISCO,USF,0,Privada,Universidade,BRAGANCA PAULISTA,"3,85","4,07","3,00","4,54",63,145,1,670,"4,26","2,65"
ADMINISTRAÇÃO,SP,0,2012,"2,58","1,77","1,65","4,64","3,25",UNIVERSIDADE SÃO FRANCISCO,USF,0,Privada,Universidade,ITATIBA,"3,57","3,31","3,00","3,89",70,139,1,670,"3,55","2,57"
CIÊNCIAS CONTÁBEIS,SP,0,2012,"3,60","3,12","3,10","4,17","4,07",UNIVERSIDADE SÃO FRANCISCO,USF,0,Privada,Universidade,BRAGANCA PAULISTA,"4,17","3,99","4,00","4,69",44,87,22,670,"4,27","3,59"
DIREITO,SP,0,2012,"3,53","2,55","3,07","5,00","4,29",UNIVERSIDADE SÃO FRANCISCO,USF,0,Privada,Universidade,BRAGANCA PAULISTA,"3,86","4,12","4,00","4,45",127,232,2,670,"4,25","3,53"
DIREITO,SP,0,2012,"2,92","1,60","1,60","5,00","5,00",UNIVERSIDADE SÃO FRANCISCO,USF,0,Privada,Universidade,SAO PAULO,"4,00","3,51","3,00","4,72",5,54,2,670,"3,99","2,91"
PSICOLOGIA,SP,0,2012,"3,65","2,92","3,75","5,00","3,74",UNIVERSIDADE SÃO FRANCISCO,USF,0,Privada,Universidade,ITATIBA,"3,18","4,22","4,00","3,55",61,112,18,670,"3,95","3,66"
PSICOLOGIA,SP,0,2012,"3,60","2,80","2,80","5,00","4,74",UNIVERSIDADE SÃO FRANCISCO,USF,0,Privada,Universidade,SAO PAULO,"4,80","5,00","4,00","3,28",3,16,18,670,"4,31","3,63"
ADMINISTRAÇÃO,SP,0,2012,"2,37","2,05","1,95","3,75","1,00",UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,0,Privada,Universidade,BAURU,"3,39","3,53","3,00","4,37",58,101,1,137,"3,87","2,36"
FILOSOFIA (LICENCIATURA),SP,0,2011,"3,33","2,68","2,44","5,00","4,00",UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,0,PRIVADA,UNIVERSIDADES,BAURU,"3,92","3,98","4,00","5,00",6,19,3202,137,"4,39","3,32"
HISTÓRIA (LICENCIATURA),SP,0,2011,"3,60","3,18","2,73","5,00","4,17",UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,0,PRIVADA,UNIVERSIDADES,BAURU,"4,17","4,48","4,00","4,88",11,41,2402,137,"4,64","3,60"
JORNALISMO,SP,0,2012,"3,02","2,67","3,01","3,44","1,68",UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,0,Privada,Universidade,BAURU,"4,00","4,06","4,00","4,22",28,39,803,137,"4,12","3,01"
PSICOLOGIA,SP,0,2012,"3,65","3,22","4,16","4,71","2,24",UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,0,Privada,Universidade,BAURU,"2,39","4,21","4,00","4,88",66,100,18,137,"4,48","3,64"
PUBLICIDADE E PROPAGANDA,SP,0,2012,"2,28","1,62","1,67","3,21","1,56",UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,0,Privada,Universidade,BAURU,"4,38","3,60","3,00","3,94",47,63,804,137,"3,74","2,27"
ADMINISTRAÇÃO,RS,1,2012,"3,12","2,90","3,27","3,75","1,09",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,FREDERICO WESTPHALEN,"3,75","3,89","4,00","5,00",55,68,1,423,"4,33","3,10"
ADMINISTRAÇÃO,RS,1,2012,"2,58","2,67","3,03","4,23","0,54",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,SANTO ANGELO,"1,73","2,54","3,00","3,56",74,93,1,423,"2,95","2,56"
ADMINISTRAÇÃO,RS,1,2012,"2,53","2,69","2,60","3,20","0,56",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,ERECHIM,"2,30","3,26","3,00","4,55",108,140,1,423,"3,78","2,51"
ADMINISTRAÇÃO,RS,1,2012,"2,32","2,41","2,53","2,92","0,00",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,SANTIAGO,"2,92","2,77","3,00","4,08",40,57,1,423,"3,29","2,30"
ADMINISTRAÇÃO,RS,1,2012,"2,27","2,26","2,73","3,85","0,54",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,SAO LUIZ GONZAGA,"1,92","2,44","3,00","2,23",18,27,1,423,"2,36","2,28"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"3,28","4,01","3,84","4,38","0,00",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,SANTO ANGELO,"2,19","3,85","4,00","4,74",27,34,22,423,"4,20","3,27"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"3,15","3,57","3,44","3,13","0,68",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,FREDERICO WESTPHALEN,"2,50","4,53","4,00","4,89",62,77,22,423,"4,67","3,14"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"3,03","3,90","3,90","2,27","0,00",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,CERRO LARGO,"1,36","3,62","4,00","4,62",35,36,22,423,"4,02","3,02"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"2,60","2,65","2,72","2,65","0,48",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,SANTIAGO,"4,12","3,12","3,00","4,04",32,48,22,423,"3,49","2,59"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"2,54","2,81","2,74","2,68","0,29",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,ERECHIM,"2,14","3,61","3,00","4,56",43,50,22,423,"3,99","2,53"
DIREITO,RS,1,2012,"3,10","2,47","3,09","4,62","2,31",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,SANTO ANGELO,"2,56","3,83","4,00","4,75",109,141,2,423,"4,20","3,09"
DIREITO,RS,1,2012,"2,46","2,61","2,57","3,00","1,07",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,ERECHIM,"1,57","3,11","3,00","4,10",150,209,2,423,"3,50","2,45"
DIREITO,RS,1,2012,"2,39","2,16","2,33","3,00","1,29",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,FREDERICO WESTPHALEN,"2,29","3,36","3,00","4,10",136,173,2,423,"3,65","2,38"
DIREITO,RS,1,2012,"1,92","1,75","1,99","1,74","0,33",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,SANTIAGO,"2,83","2,37","2,00","4,06",92,135,2,423,"3,05","1,90"
PSICOLOGIA,RS,1,2012,"3,11","2,56","3,54","4,49","1,19",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,ERECHIM,"2,50","4,13","4,00","4,69",33,40,18,423,"4,35","3,10"
PSICOLOGIA,RS,1,2012,"3,04","3,04","3,73","3,89","0,29",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,SANTO ANGELO,"2,50","3,95","4,00","4,06",35,47,18,423,"3,99","3,04"
PSICOLOGIA,RS,1,2012,"2,87","2,18","3,20","4,17","0,97",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,FREDERICO WESTPHALEN,"2,81","3,81","3,00","4,83",16,18,18,423,"4,21","2,85"
PSICOLOGIA,RS,1,2012,"2,78","2,49","3,56","2,62","0,37",UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,0,Privada,Universidade,SANTIAGO,"2,86","3,93","3,00","3,66",31,42,18,423,"3,82","2,78"
ADMINISTRAÇÃO,RS,1,2012,"3,39","4,10","4,28","2,59","1,30",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,SAO GABRIEL,"2,22","3,00","4,00","3,84",18,28,1,296,"3,34","3,37"
ADMINISTRAÇÃO,RS,1,2012,"2,78","3,64","3,75","1,30","0,30",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,SANTANA DO LIVRAMENTO,"2,61","1,54","3,00","3,75",52,66,1,296,"2,42","2,74"
ADMINISTRAÇÃO,RS,1,2012,"2,46","2,64","2,39","2,22","1,30",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,ALEGRETE,"1,85","3,62","3,00","4,28",24,38,1,296,"3,88","2,45"
ADMINISTRAÇÃO,RS,1,2012,"1,92","2,01","1,68","1,84","1,11",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,DOM PEDRITO,"1,58","2,81","2,00","3,98",17,22,1,296,"3,28","1,91"
ADMINISTRAÇÃO,RS,1,2012,"1,71","1,78","1,20","3,00","1,17",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,BAGE,"2,50","1,80","2,00","2,79",47,62,1,296,"2,20","1,69"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"2,84","2,99","3,13","2,78","2,26",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,ALEGRETE,"2,50","2,24","3,00","3,31",17,23,22,296,"2,67","2,83"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"2,81","2,73","3,28","2,86","1,55",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,BAGE,"2,14","2,88","3,00","3,86",14,23,22,296,"3,27","2,79"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"2,73","3,41","3,58","1,67","0,68",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,SANTANA DO LIVRAMENTO,"2,08","1,93","3,00","3,59",14,24,22,296,"2,60","2,71"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"2,32","1,90","1,90","2,86","1,16",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,SAO GABRIEL,"3,10","3,69","3,00","5,00",0,3,22,296,"4,21","2,30"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"2,03","2,19","2,44","1,32","0,86",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,CACAPAVA DO SUL,"1,32","1,42","3,00","4,06",20,28,22,296,"2,48","1,99"
DIREITO,RS,1,2012,"2,85","2,97","3,26","1,79","1,07",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,ALEGRETE,"1,96","4,54","3,00","4,39",57,98,2,296,"4,48","2,85"
DIREITO,RS,1,2012,"2,69","2,63","3,03","1,74","1,30",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,SANTANA DO LIVRAMENTO,"2,39","3,85","3,00","4,18",68,109,2,296,"3,98","2,69"
DIREITO,RS,1,2012,"2,33","2,01","2,71","2,60","1,20",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,SAO GABRIEL,"1,80","2,46","3,00","3,79",47,81,2,296,"2,99","2,31"
DIREITO,RS,1,2012,"2,27","2,26","2,67","2,74","0,97",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,BAGE,"2,74","2,33","3,00","2,00",106,151,2,296,"2,20","2,27"
JORNALISMO,RS,1,2012,"2,10","2,06","2,34","2,92","1,33",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,BAGE,"2,62","1,67","3,00","1,70",26,36,803,296,"1,68","2,10"
PSICOLOGIA,RS,1,2012,"2,59","1,96","2,34","3,33","1,50",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,BAGE,"3,75","4,28","3,00","4,03",28,48,18,296,"4,18","2,59"
PUBLICIDADE E PROPAGANDA,RS,1,2012,"1,77","1,75","1,75","3,10","1,49",UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,0,Privada,Universidade,BAGE,"2,62","1,11","2,00","0,97",0,2,804,296,"1,06","1,77"
ADMINISTRAÇÃO,DF,0,2012,"2,38","2,04","2,47","2,16","0,48",FACULDADES INTEGRADAS DA UPIS,UPIS,0,Privada,Faculdade,BRASILIA,"3,18","4,10","3,00","4,32",65,216,1,404,"4,19","2,37"
CIÊNCIAS CONTÁBEIS,DF,0,2012,"2,33","2,30","2,44","1,79","0,29",FACULDADES INTEGRADAS DA UPIS,UPIS,0,Privada,Faculdade,BRASILIA,"3,93","3,47","3,00","3,73",79,217,22,404,"3,57","2,32"
CIÊNCIAS ECONÔMICAS,DF,0,2012,"2,83","2,53","3,39","2,47","1,07",FACULDADES INTEGRADAS DA UPIS,UPIS,0,Privada,Faculdade,BRASILIA,"3,57","3,18","3,00","3,71",11,38,13,404,"3,39","2,82"
DIREITO,DF,0,2012,"2,14","1,67","2,19","2,24","0,79",FACULDADES INTEGRADAS DA UPIS,UPIS,0,Privada,Faculdade,BRASILIA,"3,68","2,94","3,00","3,37",70,235,2,404,"3,11","2,13"
HISTÓRIA (LICENCIATURA),DF,0,2011,"3,52","3,56","4,14","3,55","1,25",FACULDADES INTEGRADAS DA UPIS,UPIS,0,PRIVADA,FACULDADES,BRASÍLIA,"2,50","4,74","4,00","4,82",8,33,2402,404,"4,77","3,52"
ADMINISTRAÇÃO,RS,1,2012,"2,81","2,63","2,97","3,60","0,84",UNIVERSIDADE DE PASSO FUNDO,UPF,0,Privada,Universidade,SARANDI,"3,00","3,70","3,00","4,62",30,37,1,20,"4,07","2,79"
ADMINISTRAÇÃO,RS,1,2012,"2,67","2,64","2,77","3,39","1,38",UNIVERSIDADE DE PASSO FUNDO,UPF,0,Privada,Universidade,CARAZINHO,"3,13","2,74","3,00","3,65",50,69,1,20,"3,10","2,66"
ADMINISTRAÇÃO,RS,1,2012,"2,57","2,49","2,68","3,88","0,53",UNIVERSIDADE DE PASSO FUNDO,UPF,0,Privada,Universidade,LAGOA VERMELHA,"2,88","2,74","3,00","4,65",14,21,1,20,"3,51","2,55"
ADMINISTRAÇÃO,RS,1,2012,"2,45","2,14","2,23","3,54","1,09",UNIVERSIDADE DE PASSO FUNDO,UPF,0,Privada,Universidade,PASSO FUNDO,"3,07","3,20","3,00","4,59",111,172,1,20,"3,75","2,43"
ADMINISTRAÇÃO,RS,1,2012,"2,41","2,28","2,44","3,53","0,97",UNIVERSIDADE DE PASSO FUNDO,UPF,0,Privada,Universidade,SOLEDADE,"2,93","3,10","3,00","3,17",45,59,1,20,"3,12","2,41"
ADMINISTRAÇÃO,RS,1,2012,"2,27","1,94","1,82","3,97","0,97",UNIVERSIDADE DE PASSO FUNDO,UPF,0,Privada,Universidade,CASCA,"3,10","3,72","3,00","3,86",49,66,1,20,"3,78","2,27"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"2,97","3,31","3,49","2,75","0,61",UNIVERSIDADE DE PASSO FUNDO,UPF,0,Privada,Universidade,CARAZINHO,"3,63","2,91","4,00","4,00",41,47,22,20,"3,35","2,96"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"2,65","2,84","2,78","3,39","0,53",UNIVERSIDADE DE PASSO FUNDO,UPF,0,Privada,Universidade,SOLEDADE,"3,23","3,34","3,00","3,82",21,24,22,20,"3,53","2,64"
